"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","skynet1",,,,"User:","kelly"
"Cmdline:","dstat -tcmrd --disk-util -ny --output output/stats_1444187956.csv",,,,"Date:","06 Oct 2015 23:19:16 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"dsk/total",,"sda","net/total",,"system",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read","writ","util","recv","send","int","csw"
06-10 23:19:16,0.154,0.038,99.795,0.004,0.000,0.008,744800256.0,531689472.0,4736708608.0,19269640192.0,0.073,0.522,875.492,144936.595,0.070,0.0,0.0,70.636,88.497
06-10 23:19:17,0.0,0.0,100.0,0.0,0.0,0.0,744792064.0,531689472.0,4736708608.0,19269648384.0,0.0,0.0,0.0,0.0,0.0,648.0,1454.0,41.0,68.0
06-10 23:19:18,0.125,0.125,99.751,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,426.0,732.0,85.0,125.0
06-10 23:19:19,0.0,0.0,100.0,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,928.0,596.0,48.0,66.0
06-10 23:19:20,0.0,0.0,100.0,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,770.0,766.0,45.0,69.0
06-10 23:19:21,0.125,0.0,99.875,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,14.0,0.0,61440.0,0.0,246.0,666.0,52.0,48.0
06-10 23:19:22,0.0,0.0,100.0,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,2.0,0.0,36864.0,0.0,140.0,612.0,54.0,78.0
06-10 23:19:23,0.125,0.0,99.875,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,864.0,748.0,81.0,120.0
06-10 23:19:24,0.0,0.0,100.0,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,41.0,59.0
06-10 23:19:25,0.0,0.0,100.0,0.0,0.0,0.0,744894464.0,531689472.0,4736712704.0,19269541888.0,0.0,0.0,0.0,0.0,0.0,140.0,674.0,33.0,42.0
06-10 23:19:26,0.125,0.0,99.875,0.0,0.0,0.0,744919040.0,531689472.0,4736712704.0,19269517312.0,0.0,0.0,0.0,0.0,0.0,1314.0,1838.0,151.0,289.0
06-10 23:19:27,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,16.0,0.0,118784.0,0.0,140.0,596.0,82.0,87.0
06-10 23:19:28,0.125,0.0,99.875,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,426.0,748.0,74.0,121.0
06-10 23:19:29,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,578.0,596.0,52.0,83.0
06-10 23:19:30,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,56.0,89.0
06-10 23:19:31,0.125,0.0,99.875,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,47.0,74.0
06-10 23:19:32,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,2.0,0.0,12288.0,0.0,578.0,596.0,58.0,98.0
06-10 23:19:33,0.125,0.0,99.875,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,1.0,0.0,4096.0,0.0,426.0,748.0,84.0,133.0
06-10 23:19:34,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,140.0,612.0,62.0,103.0
06-10 23:19:35,0.0,0.0,100.0,0.0,0.0,0.0,745095168.0,531689472.0,4736712704.0,19269341184.0,0.0,0.0,0.0,0.0,0.0,1002.0,702.0,56.0,89.0
06-10 23:19:36,13.208,2.390,80.126,0.0,0.0,4.277,746016768.0,531689472.0,4736712704.0,19268419584.0,0.0,0.0,0.0,0.0,0.0,19133096.0,66383132.0,6400.0,6158.0
06-10 23:19:37,36.829,7.161,45.780,0.128,0.0,10.102,746573824.0,531689472.0,4736712704.0,19267862528.0,0.0,2.0,0.0,12288.0,0.400,51701984.0,178308142.0,16498.0,14828.0
06-10 23:19:38,37.500,7.197,44.823,0.0,0.0,10.480,746639360.0,531689472.0,4736712704.0,19267796992.0,0.0,0.0,0.0,0.0,0.0,51604143.0,177415714.0,16506.0,15349.0
06-10 23:19:39,39.549,7.885,42.053,0.0,0.0,10.513,747065344.0,531689472.0,4736712704.0,19267371008.0,0.0,1.0,0.0,4096.0,0.0,53542108.0,183442474.0,16219.0,14560.0
06-10 23:19:40,34.180,9.530,44.473,0.0,0.0,11.817,747294720.0,531689472.0,4736712704.0,19267141632.0,0.0,0.0,0.0,0.0,0.0,52091598.0,178479668.0,16400.0,15320.0
06-10 23:19:41,35.868,8.872,43.093,0.0,0.0,12.167,747458560.0,531689472.0,4736712704.0,19266977792.0,0.0,0.0,0.0,0.0,0.0,52695380.0,180312270.0,16648.0,15777.0
06-10 23:19:42,36.178,8.408,43.694,0.0,0.0,11.720,747552768.0,531689472.0,4736716800.0,19266879488.0,0.0,0.0,0.0,0.0,0.0,52276560.0,178198056.0,16503.0,15371.0
06-10 23:19:43,36.456,8.354,43.671,0.0,0.0,11.519,746668032.0,531689472.0,4736716800.0,19267764224.0,0.0,2.0,0.0,12288.0,0.400,52222578.0,177708428.0,16676.0,15429.0
06-10 23:19:44,35.659,8.398,43.282,0.0,0.0,12.661,746893312.0,531689472.0,4736716800.0,19267538944.0,0.0,0.0,0.0,0.0,0.0,52897512.0,179971696.0,17173.0,16771.0
06-10 23:19:45,37.469,9.023,42.356,0.0,0.0,11.153,746401792.0,531689472.0,4736716800.0,19268030464.0,0.0,2.0,0.0,8192.0,0.0,52911954.0,180202690.0,16880.0,15867.0
06-10 23:19:46,36.573,8.312,42.711,0.0,0.0,12.404,747089920.0,531689472.0,4736716800.0,19267342336.0,0.0,0.0,0.0,0.0,0.0,53140474.0,181073314.0,16828.0,16102.0
06-10 23:19:47,33.979,8.398,44.057,0.0,0.0,13.566,746369024.0,531689472.0,4736716800.0,19268063232.0,0.0,0.0,0.0,0.0,0.0,52555292.0,178811840.0,16055.0,14608.0
06-10 23:19:48,36.181,8.668,42.588,0.0,0.0,12.563,747646976.0,531689472.0,4736716800.0,19266785280.0,0.0,0.0,0.0,0.0,0.0,52556674.0,178364584.0,16237.0,14949.0
06-10 23:19:49,36.929,8.503,42.259,0.0,0.0,12.310,748236800.0,531689472.0,4736716800.0,19266195456.0,0.0,2.0,0.0,20480.0,0.400,53295354.0,180727160.0,16088.0,14638.0
06-10 23:19:50,35.714,8.418,43.112,0.0,0.0,12.755,746565632.0,531689472.0,4736716800.0,19267866624.0,0.0,0.0,0.0,0.0,0.0,52480002.0,177810448.0,16583.0,15802.0
06-10 23:19:51,36.607,8.546,41.964,0.0,0.0,12.883,747155456.0,531689472.0,4736716800.0,19267276800.0,0.0,3.0,0.0,12288.0,0.0,53308658.0,180836498.0,16611.0,15672.0
06-10 23:19:52,36.090,9.524,41.228,0.0,0.0,13.158,747220992.0,531689472.0,4736716800.0,19267211264.0,0.0,0.0,0.0,0.0,0.0,53221758.0,180340496.0,16616.0,15688.0
06-10 23:19:53,36.444,9.584,40.984,0.0,0.0,12.989,747282432.0,531689472.0,4736716800.0,19267149824.0,0.0,0.0,0.0,0.0,0.0,53370422.0,180873650.0,16724.0,16006.0
06-10 23:19:54,38.319,8.900,41.409,0.0,0.0,11.372,747282432.0,531689472.0,4736716800.0,19267149824.0,0.0,2.0,0.0,12288.0,0.400,52306300.0,176605914.0,16870.0,16014.0
06-10 23:19:55,34.839,9.290,42.581,0.0,0.0,13.290,746692608.0,531689472.0,4736716800.0,19267739648.0,0.0,0.0,0.0,0.0,0.0,52699450.0,177586306.0,16941.0,16676.0
06-10 23:19:56,37.197,8.790,40.510,0.0,0.0,13.503,746889216.0,531689472.0,4736716800.0,19267543040.0,0.0,0.0,0.0,0.0,0.0,53868820.0,181601882.0,16396.0,15892.0
06-10 23:19:57,36.466,9.148,41.855,0.0,0.0,12.531,747610112.0,531689472.0,4736716800.0,19266822144.0,0.0,1.0,0.0,4096.0,0.0,52439518.0,176862732.0,16566.0,15773.0
06-10 23:19:58,33.877,10.163,41.907,0.0,0.0,14.053,746364928.0,531689472.0,4736716800.0,19268067328.0,0.0,0.0,0.0,0.0,0.0,52262734.0,175882138.0,16786.0,15872.0
06-10 23:19:59,37.312,8.668,41.709,0.0,0.0,12.312,746954752.0,531689472.0,4736716800.0,19267477504.0,0.0,2.0,0.0,12288.0,0.400,52427206.0,176778646.0,16796.0,16012.0
06-10 23:20:00,34.923,9.278,42.268,0.0,0.0,13.531,746496000.0,531689472.0,4736716800.0,19267936256.0,0.0,0.0,0.0,0.0,0.0,52945450.0,178411796.0,16728.0,16326.0
06-10 23:20:01,36.443,9.204,42.289,0.0,0.0,12.065,746954752.0,531689472.0,4736716800.0,19267477504.0,0.0,0.0,0.0,0.0,0.0,51782530.0,174472856.0,16538.0,15434.0
06-10 23:20:02,35.101,9.596,41.162,0.0,0.0,14.141,746696704.0,531689472.0,4736753664.0,19267698688.0,0.0,0.0,0.0,0.0,0.0,52694288.0,177834564.0,16936.0,16641.0
06-10 23:20:03,36.020,8.564,42.317,0.0,0.0,13.098,746926080.0,531689472.0,4736753664.0,19267469312.0,0.0,3.0,0.0,45056.0,0.0,52306028.0,176701858.0,16836.0,16292.0
06-10 23:20:04,35.287,9.554,43.312,0.127,0.0,11.720,747319296.0,531689472.0,4736753664.0,19267076096.0,0.0,2.0,0.0,24576.0,0.400,51700336.0,174353372.0,16587.0,15608.0
06-10 23:20:05,33.929,9.056,42.474,0.0,0.0,14.541,746950656.0,531689472.0,4736753664.0,19267444736.0,0.0,0.0,0.0,0.0,0.0,52358942.0,176201108.0,16651.0,15871.0
06-10 23:20:06,35.623,8.906,42.366,0.0,0.0,13.104,746590208.0,531689472.0,4736753664.0,19267805184.0,0.0,0.0,0.0,0.0,0.0,52541526.0,177262546.0,16817.0,16278.0
